id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
198,Caramba Bremen GmbH,2307,0.000280603,0,0,0,0.5,0,0,0,25.01403016,2,1,0,2,1,4,2,1
199,VEER DYE CHEM,2316,0,0,0,0,0,0,0,0.8,160,0,1,2,0,3,2,3,6
200,Sunkem A.Ş.,2333,0.003016485,0.002277904,0.009090909,0,0.435283019,0,0,1,224.1887379,0,1,0,3,4,5,3,6
201,VladaChem GmbH,2376,0.391932655,0.211845103,0.045454545,0.728070175,0.427593031,0.000889958,0,0.65,258.9287185,0,0,1,3,4,5,5,4
202,ALDODEI 1946 di Giacomo Bertolio D.I.,2412,0.009119607,0,0,0,0.616666667,0,0,0,31.28931369,2,1,0,2,1,4,2,1
203,QP Germany OHG,2436,0.004209049,0,0,0.142857143,0.57,0,0,0,35.85330962,2,1,0,2,1,4,2,1
204,"Canaltravel Exports, S.L.",2438,0.004770256,0.004555809,0,0,0.57,0,0,0,29.64967453,2,1,0,2,1,4,2,1
205,CID,2439,0.008418099,0.020501139,0.009090909,0.888888889,0.528,0,0,0,77.183759,1,0,1,1,0,3,1,5
206,LKAB Minerals B.V.,2472,0.025043844,0,0,0,0.57,0,0,0,29.75219221,2,1,0,2,1,4,2,1
207,C5 Innovation Aps,2478,0.000491056,0,0,0,0.57,0,0,0,28.52455279,2,1,0,2,1,4,2,1
208,Agricell Crop Science,2498,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
209,Shakti Chemical Industries,2516,0.002174676,0,0,0,0.57,0,0,0,28.60873378,2,1,0,2,1,4,2,1
210,MOLAR bvba,2530,0.100315679,0.006833713,0,0.9125,0.660465116,0,0,0,85.03078235,1,0,1,1,0,3,1,0
211,Integrated Chemicals Specialties BV,2552,0.018169063,0.011389522,0,1,0.686666667,0,0,0,87.51969084,1,0,1,1,0,3,1,0
212,Shreeshyam Oleo Chemicals Pvt Ltd,2566,0,0,0,0,0,0,0,0.4,80,1,1,2,0,3,2,0,3
213,Inchem Kimya Sanayi ve Dis Ticaret Limited Sirketi,2577,0.010101719,0,0,0,0.57,0,0,0,29.00508593,2,1,0,2,1,4,2,1
214,B M Paper Packaging,2581,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
215,The Masterbatch Company,2597,0.001613469,0,0,0,0.71,0,0,0,35.58067345,2,1,0,2,2,1,4,2
216,Sheri Trading Co,2613,0.129919327,0.091116173,0.018181818,0.965517241,0.669041096,0,0,0,110.0834815,0,0,1,1,0,3,1,0
217,B.T.G. - SOL GROUP,2657,0.000350754,0,0,0,0.43,0,0,0,21.51753771,2,1,0,2,1,4,2,1
218,Eninco Engineering B.V.,2680,0.001613469,0,0,0,0.57,0,0,0,28.58067345,2,1,0,2,1,4,2,1
219,Teknova Matbaacilik Kimya Sanayi ve Ticaret A. Ş.,2691,0.002174676,0.01594533,0,0.7,0.501538462,0,0,1,263.3747229,0,0,1,3,4,5,5,4
220,Baltic Composites and Fragrance,2699,0.002455279,0,0,0,0.57,0,0,0,28.62276394,2,1,0,2,1,4,2,1
221,Aldur Maden Ltd Sti,2726,7.02E-05,0,0,0,0.43,0,0,0.7,161.5035075,0,1,0,2,1,4,3,6
222,SACEA S.R.L.,2730,0.00259558,0,0,0,0.605,0,0,0,30.37977902,2,1,0,2,1,4,2,1
223,Zeolites Production,2785,0.02293932,0,0,0,0.64,0,0,0,33.14696598,2,1,0,2,2,1,4,2
224,Beckmann-Kenko GmbH,2787,0.114345844,0.129840547,0.009090909,0.90625,0.358247863,0.001238203,0,0.6,216.8522968,0,0,1,3,4,5,5,4
225,Resiplast,2799,0.006874781,0.002277904,0,0.333333333,0.523333333,0,0,0,43.63265324,1,1,0,2,1,0,6,7
226,Sova Chemicals Co,2805,0.00084181,0,0,0,0.57,0,0,0,28.54209049,2,1,0,2,1,4,2,1
227,Coftech GmbH,2818,0.042932304,0,0,0,0.57,0,0,0,30.64661522,2,1,0,2,1,4,2,1
228,Perechyn Timber and Chemical Plant,2829,0.007856892,0,0,0.823529412,0.732857143,0,0,0,78.21217235,1,0,1,1,0,3,1,0
229,HELM AG,2830,0.185478779,0.066059226,0.036363636,1,0.687368421,0.002880541,0,0.8,274.4149865,0,0,1,3,4,5,5,4
230,Alsucrose corporation,2858,0,0,0,0,0,0,0,0.9,180,0,1,2,0,3,2,3,6
231,SYMBIAGRO SRL,2892,0.000561207,0,0,0,0.57,0,0,0,28.52806033,2,1,0,2,1,4,2,1
232,Vagdevi InnoScience Private Limited,2896,0.000140302,0,0,0,0.43,0,0,0,21.50701508,2,1,0,2,1,4,2,1
233,Aeon Procare Pvt Ltd,2900,0,0,0,0,0,0,0,0.5,100,0,1,2,0,3,2,0,3
234,Dominik Georg Luh Technografit GmBH,2903,0.066222378,0.002277904,0.009090909,0.925925926,0.554444444,0,0,0,79.60340011,1,0,1,1,0,3,1,5
235,Jenrashid Consultants,2905,0,0,0,0,0.86,0,0,0.7,183,0,1,0,2,2,1,3,6
236,EcoSphere Speciality,2921,0.009470361,0,0,0.411764706,0.419230769,0,0,0,42.02329182,2,1,0,2,1,0,6,7
237,SYNERGY COMMODITIES LTD,2938,0.001543318,0.002277904,0,0,0.57,0,0,0,29.03274677,2,1,0,2,1,4,2,1
238,INTERPUR CHEMICALS S.L.U,2945,0.043493511,0.006833713,0,0.704081633,0.519275362,0,0,0,64.7092679,1,0,1,1,0,0,6,5
239,Punjab Rosin & Chemicals Works,2957,0.002174676,0,0,0.125,0.57,0,0,0,34.85873378,2,1,0,2,1,4,2,1
240,Superior Spirits Ltd,2968,0.042371098,0.013667426,0,0.944444444,0.682,0,0,1,286.1742623,0,0,1,3,4,5,5,4
241,Healy Group Europe B.V.,2970,0.027990179,0.002277904,0.009090909,0.414634146,0.57,0,0,0,52.90497895,1,1,0,2,1,0,6,7
242,XP Chemistries AB,2975,0.00084181,0,0,0,0.64,0,0,0.9,212.0420905,0,1,0,3,4,5,3,6
243,SHREE GANESH ENTERPRISES,3017,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
244,Salicylates and Chemicals Pvt. Ltd.,3026,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
245,Mertler End. Mad. Teks San. ve Tic. Ltd. Şti.,3027,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
246,Alumichem,3040,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
247,Calibre Chemicals Pvt Ltd.,3052,0.000420905,0,0,0,0.71,0,0,0,35.52104525,2,1,0,2,2,1,4,2
248,La Hemija doo,3077,0.000420905,0,0,0,0.36,0,0,0,18.02104525,2,1,2,0,1,4,2,1
249,Matrix Marketing GmbH,3081,0.009049456,0.006833713,0.009090909,0.272727273,0.170776362,0.00087706,0,0,25.90028496,2,1,2,0,3,2,0,3
250,industrial protective paints ltd,3094,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
251,KEMAT,3120,0.021396001,0.022779043,0.009090909,0.583333333,0.658148148,0.000692774,0,0,69.58714205,1,0,1,1,0,0,6,7
252,Kreide-Farbenwerk Rügen GmbH,3212,0.008347948,0.004555809,0,0.666666667,0.402,0,0,0,54.76189247,1,0,1,1,0,0,6,7
253,iStrategia,3217,0.001894072,0,0,0,0.57,0,0,1,228.5947036,0,1,0,3,4,5,3,6
254,Tricura GmbH & Co.KG,3218,0.094633462,0.01594533,0,1,0.55776699,0,0,0,85.80908867,1,0,1,1,0,3,1,5
255,Universal Chemicals,3235,0.000280603,0,0,0,0.29,0,0,0,14.51403016,2,1,2,0,1,4,2,1
256,"SILON, s.r.o.",3259,0.013188355,0,0,1,0.632222222,0,0,0,82.27052886,1,0,1,1,0,3,1,5
257,Denkim Denizli Kimya A.Ş.,3287,0.016555595,0,0,0,0.57,0,0,0,29.32777973,2,1,0,2,1,4,2,1
258,Akott Evolution,3311,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
259,Yillar Madencilik iç ve dış tic san ltd şti.,3325,0.000631357,0,0,0,0.71,0,0,0,35.53156787,2,1,0,2,2,1,4,2
260,SHAKTI CHEMICALS,3363,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
261,Alumichem,3364,0.00336724,0.002277904,0,0.5,0.71,0,0,0,61.12394284,1,0,1,1,0,0,6,7
262,Paxymer AB,3378,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
263,VAC minerais,3392,0.003507541,0,0,0,0.57,0,0,0.7,168.6753771,0,1,0,2,1,4,3,6
264,"UAB ""Transoila""",3417,0.049596633,0.047835991,0,0.547945205,0.538461539,0,0,0,66.36736701,1,0,1,1,0,0,6,7
265,Altana AG,3430,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
266,ANV Trader,3434,0.026937917,0.004555809,0.009090909,0.666666667,0.736666667,3.01E-05,0,0,74.24591556,1,0,1,1,0,0,6,0
267,BRIJESH CHEMICALS,3480,0.008277797,0,0,0.1,0.476666667,0,0,0,29.2472232,2,1,0,2,1,4,2,1
268,Konimpex Chemicals Sp. z o.o.,3578,0.048053315,0.020501139,0.009090909,0.288659794,0.499156627,7.36E-05,0,0.7,187.7192589,0,1,0,3,4,5,3,6
269,JAL AQUA INTERNATIONAL,3634,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
270,Stephan Schmidt KG,3638,0.009821115,0.004555809,0.009090909,1,0.71,0,0,0,88.72039932,1,0,1,1,0,3,1,0
271,DC Solutions s.r.o.,3657,0.010382322,0,0,0,0.71,0,0,0,36.0191161,2,1,0,2,2,1,4,2
272,Eksotein GmbH,3660,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
273,Gujarat Metals And Chemicals Company,3698,0.006664328,0,0,0,0.29,0,0,0,14.83321642,2,1,2,0,1,4,2,1
274,PJSC Pigment,3729,0.010592774,0,0,0.25,0.71,0,0,0,48.52963872,1,1,0,2,2,1,4,2
275,SERDAROGLU GRUBU A.Ş.,3760,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
276,Brenntag UK and Scandinavia,3779,0.069449316,0,0,0.454545455,0.912615385,0,0,0,71.83050776,1,0,0,1,2,0,6,7
277,A. + E. Fischer-Chemie GmbH Co. KG,3783,0.220975096,0.104783599,0.054545455,1,0.34786645,0.004526318,0,0,110.7605198,0,0,1,1,0,3,1,5
278,LEPID LIFE SCIENCES PVT LTD,3808,0.021185549,0,0,0.578125,0.29254902,0,0,0,44.59297843,1,0,1,1,0,0,6,7
279,20 Microns Limited,3896,0.014030165,0,0,0.733333333,0.43,0,0,0,58.86817491,1,0,1,1,0,0,6,5
280,Chirag Enterprise,3918,0.013679411,0.06833713,0.018181818,1,0.71,0.013336606,0,0,104.8214208,0,0,1,1,0,3,1,0
281,ÇİFTÇİLER YAĞ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,3958,0.000140302,0,0,0,0.57,0,0,0,28.50701508,2,1,0,2,1,4,2,1
282,Aditya Soyatech,3966,0.014240617,0,0,0.111111111,0.71,0,0,0,41.76758642,2,1,0,2,2,1,4,2
283,Falcone Specialities AG,4098,0.051560856,0.129840547,0.027272727,0.892156863,0.475123967,0,0,0,102.3647391,0,0,1,1,0,3,1,5
284,Khandelwal Orgosol Pvt. Ltd.,4161,0.000911961,0,0,0.2,0.57,0,0,0,38.54559804,2,1,0,2,1,4,2,1
285,VN - UNITEK JSC,4239,0.00259558,0,0,0,0.523333333,0,0,0,26.29644569,2,1,0,2,1,4,2,1
286,NAVSCAPE INTERMED,4255,0.007927043,0,0,0.428571429,0.476666667,0,0,0,45.65825692,1,1,0,2,1,0,6,7
287,Para Food,4407,0.000280603,0,0,0,0.71,0,0,0,35.51403016,2,1,0,2,2,1,4,2
288,STENFY CHEM,4453,0.051841459,0.013667426,0,0.340909091,0.638285714,0,0,0,54.28529841,1,1,0,2,2,0,6,7
289,Kowa Europe GmbH,4468,0.13272536,0.08428246,0.090909091,0.569306931,0.394222222,0,0,0,89.85103583,1,0,1,1,0,0,6,7
290,Pentagon chemicals,4717,0.116801122,0.025056948,0,0.481132075,1,0,0,0,84.90804942,1,0,1,1,2,0,6,0
291,Molekula GmbH,4794,0.17109786,0.129840547,0.027272727,0.620347395,0.287437626,6.23E-05,0.066666667,0,105.3730329,0,0,1,1,0,0,6,7
292,ARIIX PRODUCTS INDIA PVT LTD,4836,0.008067345,0,0,0.34375,0.301666667,0,0,0,32.67420057,2,1,2,0,1,0,6,7
293,CONSTAB Polyolefin Additives GmbH,4843,0.017467555,0.009111617,0,1,0.64,0,0,0,84.69570122,1,0,1,1,0,3,1,5
294,Dynasty Industries,4857,0.000140302,0,0,0,0.43,0,0,0,21.50701508,2,1,0,2,1,4,2,1
295,DR. SILVIU PHARMACHEM PVT.LTD,4948,0.002665731,0,0,0,0.409354839,0,0,0,20.6010285,2,1,0,2,1,4,2,1
296,Stea s.r.l.,4957,0.029042441,0.009111617,0,0.291666667,0.457380952,0,0,0,40.72682648,2,1,0,2,1,0,6,7
297,SEMKIM Boya ve Kimyevi Mad. San. Tic. Ltd. Şti.,4979,0.026867766,0,0,0,0.582727273,0,0,0,30.47975192,2,1,0,2,1,4,2,1
298,Jay Intermediates And Chemicals,4981,0.000280603,0,0,0,0.29,0,0,0,14.51403016,2,1,2,0,1,4,2,1
299,ATUL RUBBER PROCESSORS PVT LTD,5089,0.001753771,0,0,0,0.57,0,0,0,28.58768853,2,1,0,2,1,4,2,1
300,M/s. Pacific Texchem Pvt Ltd,5192,0.004419502,0,0,0,0.57,0,0,0,28.7209751,2,1,0,2,1,4,2,1
301,Chemispec,5289,0.012627148,0.002277904,0.009090909,0,0.57,0,0,1,231.4051201,0,1,0,3,4,5,3,6
302,Kanami d.o.o,5296,0.011715188,0,0,0.19047619,0.542,0,0,0,37.20956891,2,1,0,2,1,4,2,1
303,ELEMENT ENTERPRISES,5308,0.00848825,0,0,0,0.57,0,0,0,28.92441249,2,1,0,2,1,4,2,1
304,LEFA TEMSILCILIK,5328,0.006453876,0,0,0,0.64,0,0,0,32.32269379,2,1,0,2,2,1,4,2
305,OQ Chemicals GmbH,5361,0.038653104,0.006833713,0,1,0.816578947,0,0,0.9,274.1283452,0,0,1,3,4,5,5,4
306,Artigum GmbH,5364,0.045177131,0.047835991,0.027272727,0.726190476,0.505833333,0.001797113,0,0,79.06150199,1,0,1,1,0,0,6,5
307,"NAM PHONG INDUSTRY CO., LTD",5502,0.001403016,0,0,0,0.57,0,0,0,28.57015082,2,1,0,2,1,4,2,1
308,Kempro Kimyasal Mad. ve Dis. Tic. A.S.,5527,0.025324448,0.009111617,0,1,0.292916667,0,0,0,67.73437917,1,0,1,1,0,3,1,5
309,ULIX Innovation,5534,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
310,Median Tax Deed LLC,5539,0.005541915,0,0,0,0.5,0,0,0,25.27709576,2,1,0,2,1,4,2,1
311,ATIC Chemicals Ltd.,5606,0.015643634,0.018223235,0,1,1,0,0,0,104.4268286,0,0,1,1,0,3,1,0
312,VASISTA PHARMA CHEM PRIVATE LIMITED,5633,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
313,"CIMAI - Engenharia e Química Avançada, Unipessoal Lda",5656,0.001262715,0.01594533,0,1,0.86,0,0,0,96.2522018,1,0,1,1,0,3,1,0
314,Parv Industries,5736,0.008347948,0,0,0,0.57,0,0,0,28.9173974,2,1,0,2,1,4,2,1
315,Kuraray Europe GmbH,5791,0.050929498,0.004555809,0.009090909,1,0.706283186,0,0,0,90.58997776,1,0,1,1,0,3,1,0
316,ProChem Solutions,5838,0.000701508,0,0,0,0.43,0,0,0,21.53507541,2,1,0,2,1,4,2,1
317,Sunrise Enterprise,5870,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
318,Erlon Sp. z o.o. sk.,5871,0.001262715,0,0,0,0.71,0,0,0,35.56313574,2,1,0,2,2,1,4,2
319,Reinert,5948,0.000420905,0,0,0,0.476666667,0,0,0,23.85437858,2,1,0,2,1,4,2,1
320,GEOHELLAS S.A,6008,0.017257103,0.006833713,0.009090909,1,0.764545455,0,0,0,92.27505228,1,0,1,1,0,3,1,0
321,Evonik,6037,0.094282708,0,0,1,0.548222222,0,0,0.7,222.1252465,0,0,1,3,4,5,5,4
322,Stereokem,6050,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
323,Nishant Organics Pvt. Ltd.,6126,0.012136093,0.011389522,0.009090909,1,0.64,0,0,1,286.7028908,0,0,1,3,4,5,5,4
324,OCSiAl,6154,0.003016485,0,0,0.9,0.57,0,0,0,73.65082427,1,0,1,1,0,3,1,5
325,Rubamin Private Limited,6157,0.000911961,0,0,0.6,0.383333333,0,0,0,49.2122647,1,0,1,1,0,0,6,7
326,BARCHEMICALS s.r.l,6220,0.002806033,0,0,0,0.57,0,0,0,28.64030165,2,1,0,2,1,4,2,1
327,LAPASSE ADDITIVES CHEMICALS,6243,0.001894072,0,0,0,0.57,0,0,0,28.59470361,2,1,0,2,1,4,2,1
328,Bioinagro srl,6257,0.051981761,0,0,0,0.71,0,0,0,38.09908804,2,1,0,2,2,1,4,2
329,Karl Zimmermann GmbH,6276,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
330,DOGA BIOTECH,6279,0.000701508,0,0,0,0.57,0,0,0,28.53507541,2,1,0,2,1,4,2,1
331,OOO TD ALTAYNEFT,6283,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
332,MABAYCO ENDÜSTRİYEL ÜRÜNLER LTD. ŞTİ.,6288,0.000982112,0,0,0,0.57,0,0,0,28.54910558,2,1,0,2,1,4,2,1
333,Crafted Spirits,6296,0.003156787,0.002277904,0,0.3125,0.476666667,0,0,0,40.07175355,2,1,0,2,1,0,6,7
334,Cortex Organics,6303,0.000140302,0,0,0,0.29,0,0,0,14.50701508,2,1,2,0,1,4,2,1
335,Agri-essence Singapore Pte Ltd,6307,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
336,LBI oil free GmbH,6330,0,0,0,0,0.71,0,0,0,35.5,2,1,0,2,2,1,4,2
337,HOST Olajipari Szolgáltató Kft.,6337,0.000280603,0,0,0,0.57,0,0,0,28.51403016,2,1,0,2,1,4,2,1
338,GASES RESEARCH INNOVATION AND TECHNOLOGY,6365,0.023640828,0,0,1,0.542,0,0,0,78.28204139,1,0,1,1,0,3,1,5
339,PROLIFE BIO-CHEMICAL INDUSTRIES,6366,0.007015082,0.002277904,0,0,0.511395349,0,0,0,26.37610243,2,1,0,2,1,4,2,1
340,"Cosutin Industrial Co., Limited",6393,0.037600842,0,0,1,0.71,0,0,0,87.38004209,1,0,1,1,0,3,1,0
341,Mayantu,6445,0.011574886,0,0,0.8,0.71,0,0,0,76.0787443,1,0,1,1,0,3,1,0
342,BIOPREMIUM KFT,6460,0.003297089,0,0,0,0.71,0,0,0,35.66485444,2,1,0,2,2,1,4,2
343,Echemi Solutions GmbH,6488,0.13447913,0.041002278,0.009090909,0.981818182,0.685538462,0,0,0,100.1104261,0,0,1,1,0,3,1,0
344,Lidorr Elements,6519,0.048684672,0.011389522,0,1,0.517027027,0,0,0,80.56348928,1,0,1,1,0,3,1,5
345,LG Hemija d.o.o.,6554,0.041178534,0.002277904,0,0.550724638,0.64,0,0,0.5,162.0507394,0,0,1,3,4,5,6,7
346,"Polymer Loop, S.L.",6567,0.007786741,0,0,0,0.57,0,0,0,28.88933707,2,1,0,2,1,4,2,1
347,SERKİM REÇİNE KİMYA SAN. TİC. İTH. İHR. LTD. STİ.,6609,0.003297089,0,0,0,0.43,0,0,0,21.66485444,2,1,0,2,1,4,2,1
348,Himipex Oil,6623,0.002104525,0,0,0,0.57,0,0,0,28.60522624,2,1,0,2,1,4,2,1
349,Asal Boya Kimya San. Tic Ltd Sti,6628,0.033742546,0.009111617,0,0.923076923,0.602307692,0,0,0,79.77868156,1,0,1,1,0,3,1,5
350,HSH-Chemie Serbia,6799,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
351,"Medir Ferrer y CIA, S.A.",6825,0.004138899,0,0,0.2,0.71,0,0,0,45.70694493,1,1,0,2,2,1,4,2
352,Röhm GmbH,6834,0.088179586,0.025056948,0.2,1,0.57,0.338261334,0,1,361.7465022,0,0,1,3,4,5,5,4
353,Radix Conia Makina Techizat Otomotiv Gida Ith. Ihr. San. Tic. LTD. STI,6837,0.062364083,0,0,0.166666667,0.5,0,0,0,36.45153747,2,1,0,2,1,4,2,1
354,Best Ticaret Sanayi İthalat İhracat,6857,0.010733076,0.004555809,0.018181818,0,0.57,0,0,0,33.58417917,2,1,0,2,1,4,2,1
355,ALCON CIA DE ALCOOL CONCEICAO DA BARRA,6904,0.000701508,0,0,0.166666667,0.43,0,0,0,29.86840875,2,1,0,2,1,4,2,1
356,Onyx Oil Ltd,6969,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
357,Intumescent Chemcials,6995,0.000561207,0,0,0,0.57,0,0,0,28.52806033,2,1,0,2,1,4,2,1
358,Chemos GmbH & Co.KG,7020,0.089091547,0.056947608,0.018181818,0.97826087,0.62,0.000204217,0,0,99.41392784,1,0,1,1,0,3,1,5
359,Chemische Fabrik Budenheim KG,7036,0.028130481,0.161731207,1,1,0.736764706,1,0,0,420.5910008,0,0,1,1,0,3,1,0
360,STOCKMEIER CHEMICALS BELUX N.V.,7042,0,0,0,0,0.364846154,0,0,0,18.24230769,2,1,2,0,1,4,2,1
361,STERA CHEMICALS SRL,7078,0.031567871,0.095671982,0.018181818,0.387596899,0.53,0.010232368,0,0,71.25223533,1,1,0,2,1,0,6,7
362,"Cales de Llierca, S.A.",7099,0.021536303,0.013667426,0.009090909,0.869565217,0.49,0,0,0,73.60674303,1,0,1,1,0,3,1,5
363,Metalimex a.s.,7165,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
364,"G&C Colors, S.A.",7207,0.002735882,0.004555809,0,1,0.620909091,0,0,0,82.09341038,1,0,1,1,0,3,1,5
365,Carus Europe,7223,0.003928446,0,0,0,0.71,0,0,0,35.69642231,2,1,0,2,2,1,4,2
366,Shanpar Industries Pvt Ltd.,7239,0.091476675,0.061503417,0,0.787234043,0.849150327,0,0,1,298.6937356,0,0,1,3,4,5,5,4
367,Sino-Aluminas Ltd,7269,0.080182392,0.009111617,0,1,0.77,0,0,0,94.33144307,1,0,1,1,0,3,1,0
368,NANOVISION,7323,0.001473167,0,0,0,0.86,0,0,0,43.07365837,1,1,0,2,2,1,4,2
369,Tradebe Chemicals,7339,0.044124868,0.013667426,0,0.978723404,0.458823529,0,0,0,76.8170753,1,0,1,1,0,3,1,5
370,Lapointe Gıda İth. İhr. ve Tic. Ltd. Şti.,7350,0.003086636,0.004555809,0,0.230769231,0.476666667,0,0,0,36.43728842,2,1,0,2,1,4,2,1
371,Remet UK LTD,7352,0.003647843,0.002277904,0,1,0.71,0,0,0,86.13797301,1,0,1,1,0,3,1,0
372,R-PLASTIND ROCN SRL,7403,0.001332866,0,0,0,0.57,0,0,0,28.56664328,2,1,0,2,1,4,2,1
373,Bayegan,7404,0,0,0,0,0.423,0,0,0,21.15,2,1,0,2,1,4,2,1
374,Lebon,7412,0.015012276,0.011389522,0,0.923076923,0.57,0,0,0,77.6823643,1,0,1,1,0,3,1,5
375,RBH LTD,7479,0,0,0,0,0.364117647,0,0,0,18.20588235,2,1,2,0,1,4,2,1
376,CSC Jäklechemie,7557,0.009470361,0.006833713,0.009090909,0.5,0.43,0.000937251,0,0,50.25216753,1,0,1,1,0,0,6,7
377,chemiekontor.de,7597,0.058365486,0.138952164,0.018181818,1,0.691333333,0.017779041,0,0,120.6896415,0,0,1,1,0,3,1,0
378,Indusun Drilling Fluids Private Limited,7606,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
379,KWK Holding GmbH & CO KG,7611,0.021816906,0,0,1,0.662241379,0,0,0,84.20291428,1,0,1,1,0,3,1,0
380,peri kimya,7649,0.028761838,0.266514806,0.281818182,0.977941176,0.342156863,0.04131468,0,0,181.2410595,0,0,1,1,0,3,1,5
381,EKLINGJEE POLYMERS PVT. LTD.,7729,0,0,0,0,0.43,0,0,0,21.5,2,1,0,2,1,4,2,1
382,CFI World,7744,0.002806033,0.036446469,0,0.653846154,0.476666667,0,0,0,63.95523652,1,0,1,1,0,0,6,7
383,Siliconi commerciale Spa,7746,0,0,0,0,0.14,0,0,0,7,2,1,2,0,3,2,0,3
384,Kolon Industries,7755,0.011855489,0,0,0,0.663333333,0,0,0,33.75944113,2,1,0,2,2,1,4,2
385,seven deuce trading GmbH,7824,0.001964223,0,0,0.7,0.5,0,0,0,60.09821115,1,0,1,1,0,0,6,5
386,KSAN SIA,7871,0.008137496,0.006833713,0,1,0.87625,0,0,0,95.58611738,1,0,1,1,0,3,1,0
387,Toliman OY,8055,0.000911961,0,0,0,0.57,0,0,0,28.54559804,2,1,0,2,1,4,2,1
388,IMPAG Import GmbH,8085,0.041529288,0.020501139,0.045454545,0.717105263,0.348039216,0.005235705,0,0,69.04839573,1,0,1,1,0,0,6,5
389,"OOO ""IRRC Fragmit""",8150,0.000210452,0,0,0,0.29,0,0,0,14.51052262,2,1,2,0,1,4,2,1
390,Five Star General S.L.,8153,0.001964223,0,0,0.125,0.57,0,0,0,34.84821115,2,1,0,2,1,4,2,1
391,KTM Chemicals,8182,0.031357418,0.038724374,0,0.923076923,0.45,0,0,0,77.96659179,1,0,1,1,0,3,1,5
392,Sauradip Chemical Industries Pvt. Ltd.,8186,0.016695896,0.002277904,0,0,0.71,0,0,0,36.79037567,2,1,0,2,2,1,4,2
393,DKSH,8258,0.012977902,0,0,1,0.486,0,0,0,74.94889512,1,0,1,1,0,3,1,5
394,Fagron sp. z o.o,8321,0.005541915,0,0,0.294117647,0.64,0,0,0,46.98297811,1,1,0,2,2,0,6,7
395,Lansin,8333,0.003016485,0,0,0.166666667,0.64,0,0,0,40.48415761,2,1,0,2,2,1,4,2
396,Wilh. Willumsen AS,8400,0.001543318,0,0,0,0,0,0,0,0.077165907,2,1,2,0,3,2,0,3
397,Auxicolor S.L. (Grupo UNITS),8415,0.000140302,0,0,0,0.43,0,0,0,21.50701508,2,1,0,2,1,4,2,1
398,Bhageria Industries Limited,8457,0.008067345,0,0,0.5,0.54,0,0,0,52.40336724,1,0,1,1,0,0,6,7
399,Performance Lubricants,8504,0.040617327,0.011389522,0,1,0.914444444,0,0,0,100.0309929,0,0,1,1,0,3,1,0
400,Sunsmit Dyechem Pvt Ltd,8519,0.003928446,0,0,0,0.57,0,0,0,28.69642231,2,1,0,2,1,4,2,1
401,Mitsui & Co. Deutschland GmbH,8533,0.014801824,0.018223235,0,1,0.744,0,0,0,91.58473812,1,0,1,1,0,3,1,0
402,Eurosyn Spa,8601,0.000911961,0,0,0,0.43,0,0,0,21.54559804,2,1,0,2,1,4,2,1
