id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,KmeansClusterPredicted,cluster Kmeans 10000 runs,cluster (RM) 1000 runs,DBSCANClusterPredicted,AgloClusterPredicted,SpectralClusterPredicted
1508,PWG,1765,0.022318315,0.015488867,0.003164557,0,0.036144578,0,0,4.330499425,3,2,2,2,0,2,0
1509,Petrofer Chemie H.R. Fischer GmbH & Co. KG,1830,0.004882131,0.011616651,0.006329114,0,0.04475043,0,0,4.328283396,3,2,2,2,0,2,0
1510,INK SERVICE SRL,22075,0.001115916,0.005808325,0.018987342,0,0.003442341,0,0,4.315797445,3,2,2,2,0,2,0
1511,LLC Gazpromneft-Snabzhenie,28620,0.014646394,0.040658277,0,0,0.030981067,0,0,4.314286909,3,2,2,2,0,2,0
1512,TECNOKEM S.A.,1317,0.028734831,0.052274927,0,0,0.005163511,0,0,4.308663455,3,2,2,2,0,3,0
1513,Kromax srl,30317,0.010740689,0.014520813,0.003164557,0,0.048192771,0,0,4.305625059,3,2,2,2,0,2,0
1514,A&G PRODEXIM SRL,24463,0.005998047,0.027105518,0.006329114,0,0.027538726,0,0,4.297937354,3,2,2,2,0,2,0
1515,DAW Russland,24673,0.004882131,0.03678606,0.006329114,0,0.018932874,0,0,4.295876073,3,2,2,2,0,2,0
1516,COLORIFICIO CIRPA SRL,29719,0.008229879,0.024201355,0.009493671,0,0.015490534,0,0,4.294822551,3,2,2,2,0,2,0
1517,PWSC International FZC,22622,0.002371321,0.002904163,0.015822785,0,0.017211704,0,0,4.28891634,3,2,2,2,0,2,0
1518,MV Plastics LTD,33089,0.01046171,0.025169409,0.009493671,0,0.012048193,0,0,4.282699797,3,2,2,2,0,2,0
1519,SMALTOCHIMICA SRL,22355,0.005021621,0.021297193,0.012658228,0,0.008605852,0,0,4.277878844,3,2,2,2,0,2,0
1520,decopotterycolour Sweden HB,5174,0.003068768,0.062923524,0.003164557,0,0.006884682,0,0,4.276760073,3,2,2,2,0,3,0
1521,Xeda International,24010,0.008090389,0.019361084,0.006329114,0,0.032702238,0,0,4.273508331,3,2,2,2,0,2,0
1522,Zebra Singular Unipessoal Lda,32945,0.009764263,0.013552759,0.009493671,0,0.024096386,0,0,4.269404542,3,2,2,2,0,2,0
1523,ARAL CHEMICALS & TRADE CO.LTD.,27812,0.008508858,0.029041626,0.006329114,0,0.022375215,0,0,4.262107738,3,2,2,2,0,2,0
1524,Cocoon Holland,16517,0.00251081,0.006776379,0.018987342,0,0,0,0,4.26182785,3,2,2,2,0,2,0
1525,Elaborats Milà S.L.,33075,0.007532431,0.030009681,0.006329114,0,0.022375215,0,0,4.261689134,3,2,2,2,0,2,0
1526,REALCOLOR SRL,30927,0.002092342,0.014520813,0.015822785,0,0.005163511,0,0,4.253390281,3,2,2,2,0,2,0
1527,ic creative srl,19796,0.005579579,0.012584705,0.015822785,0,0.003442341,0,0,4.244888176,3,2,2,2,0,2,0
1528,Scigrip Adhesives,20039,0.003626726,0,0.018987342,0,0.005163511,0,0,4.236980223,3,2,2,2,0,2,0
1529,Engwall o. Claesson AB,6046,0.006556005,0.028073572,0.009493671,0,0.012048193,0,0,4.232622673,3,2,2,2,0,2,0
1530,ASTRA SA,21303,0.00251081,0.026137464,0.012658228,0,0.005163511,0,0,4.222234836,3,2,2,2,0,2,0
1531,Hellichem Ltd,7090,0.00516111,0.039690223,0,0,0.039586919,0,0,4.221912605,3,2,2,2,0,2,0
1532,ROQUETTE,17383,0.006695494,0.035818006,0.003164557,0,0.029259897,0,0,4.221581244,3,2,2,2,0,2,0
1533,Cathay Industries Europe N.V.,27841,0.004045195,0.025169409,0.009493671,0,0.017211704,0,0,4.220049579,3,2,2,2,0,2,0
1534,DBP,6054,0.003208258,0.011616651,0.012658228,0,0.018932874,0,0,4.219534703,3,2,2,2,0,2,0
1535,FLAUREA CHEMICALS SA,20428,0.003487237,0.037754114,0.009493671,0,0.005163511,0,0,4.218977284,3,2,2,2,0,2,0
1536,intelligent fluids GmbH,20321,0.000836937,0,0.003164557,0.016393443,0.005163511,3.33E-05,0,4.214954584,3,2,2,2,0,2,0
1537,Sintigraf II SA,31776,0.005440089,0.066795741,0,0,0.012048193,0,0,4.21420113,3,2,2,2,0,3,0
1538,BASAR POLYESTER - HUSEYIN KECICI,15506,0.003068768,0.005808325,0.015822785,0,0.012048193,0,0,4.210821279,3,2,2,2,0,2,0
1539,Bussetti & CO GmbH,34766,0.01841261,0.007744434,0.006329114,0,0.032702238,0,0,4.208786838,3,2,2,2,0,2,0
1540,Wood Class Design,32155,0.006556005,0.009680542,0.003164557,0,0.055077453,0,0,4.198611382,3,2,2,2,0,2,0
1541,THANH PHUONG CHEMICALS COMPANY LIMITED,11414,0.001115916,0,0.018987342,0,0.006884682,0,0,4.197498221,3,2,2,2,0,2,0
1542,System Consultancy & Operation,27789,0.003905705,0.038722168,0,0,0.04130809,0,0,4.196798153,3,2,2,2,0,2,0
1543,Altmann GmbH Bauteile für Mess- und Regeltechnik,23614,0.011438136,0.033881897,0.003164557,0,0.025817556,0,0,4.18979088,3,2,2,2,0,2,0
1544,Eazymix,24973,0.003347747,0.003872217,0.012658228,0,0.025817556,0,0,4.183521571,3,2,2,2,0,2,0
1545,Virtasen Maalitehdas Oy,33842,0.0053006,0.020329138,0.006329114,0,0.032702238,0,0,4.182421573,3,2,2,2,0,2,0
1546,Limax-Italia,24152,0.004882131,0.01839303,0.009493671,0,0.022375215,0,0,4.181253005,3,2,2,2,0,2,0
1547,Aksanlar dış ticaret gıda inş mobilya kimya sanayi ve ticaret ltd. şti,25896,0.008369368,0.030977735,0.006329114,0,0.018932874,0,0,4.179821646,3,2,2,2,0,2,0
1548,Fasada Doo,23760,0.008508858,0.035818006,0.006329114,0,0.013769363,0,0,4.170634113,3,2,2,2,0,2,0
1549,VB Chemicals,30227,0.011298647,0.010648596,0.006329114,0,0.036144578,0,0,4.170413864,3,2,2,2,0,2,0
1550,AMT Dystrybucja,23358,0.006137537,0.014520813,0.012658228,0,0.012048193,0,0,4.166972697,3,2,2,2,0,2,0
1551,IQbloc Malta Ltd,22728,0.005579579,0.014520813,0.006329114,0,0.037865749,0,0,4.164129816,3,2,2,2,0,2,0
1552,DiKoM Enterprises SMPC,31258,0.007253452,0.030009681,0.006329114,0,0.020654045,0,0,4.161681668,3,2,2,2,0,2,0
1553,CCm Technologies,19196,0.004742642,0.044530494,0.006329114,0,0.008605852,0,0,4.159772166,3,2,2,2,0,2,0
1554,Suryam Gruh Udhyog,28333,0.006556005,0.011616651,0.006329114,0,0.039586919,0,0,4.153801518,3,2,2,2,0,2,0
1555,"UNI - TECH, s. r. o.",30618,0.011577626,0.020329138,0.006329114,0,0.025817556,0,0,4.152038798,3,2,2,2,0,2,0
1556,S.T.T.S. SAS,17851,0.007253452,0.028073572,0.006329114,0,0.022375215,0,0,4.150934766,3,2,2,2,0,2,0
1557,SanderStrothmann GmbH,1253,0.007392942,0.031945789,0.003164557,0,0.030981067,0,0,4.148901289,3,2,2,2,0,2,0
1558,Dió 896 Kft.,29331,0.011717115,0.025169409,0.006329114,0,0.020654045,0,0,4.142851265,3,2,2,2,0,2,0
1559,LUYTEN SA,33954,0.007113963,0.016456922,0.003164557,0,0.046471601,0,0,4.135035651,3,2,2,2,0,2,0
1560,Mauermann-Arzneimittel KG,29015,0.008787837,0.013552759,0.009493671,0,0.022375215,0,0,4.134524708,3,2,2,2,0,2,0
1561,Jokisch GmbH,29620,0.015064863,0.034849952,0,0,0.032702238,0,0,4.130852586,3,2,2,2,0,2,0
1562,Limbs & Things Ltd,5755,0.009345794,0.026137464,0.003164557,0,0.034423408,0,0,4.128244693,3,2,2,2,0,2,0
1563,Buck-Chemie GmbH,15504,0.013530478,0.021297193,0.006329114,0,0.022375215,0,0,4.125967097,3,2,2,2,0,2,0
1564,BCD Chemie GmbH,1176,0.008090389,0.029041626,0.003164557,0,0.032702238,0,0,4.124624044,3,2,2,2,0,2,0
1565,ABC LEATHER SL,32684,0.005579579,0.056147144,0,0,0.020654045,0,0,4.119038387,3,2,2,2,0,3,0
1566,Trio Verde SRL,30790,0.01311201,0.023233301,0.006329114,0,0.020654045,0,0,4.115790578,3,2,2,2,0,2,0
1567,PREART S.R.L.,5632,0.011019668,0.033881897,0.006329114,0,0.012048193,0,0,4.113310693,3,2,2,2,0,2,0
1568,MEXOCHEM CORPORATIVO,6687,0.009206305,0.015488867,0.012658228,0,0.006884682,0,0,4.110638264,3,2,2,2,0,2,0
1569,CDM GALVAN SRL,25043,0.004463663,0.011616651,0.012658228,0,0.015490534,0,0,4.110187924,3,2,2,2,0,2,0
1570,"GRANULADOS TÉCNICOS SOSTENIBLES, S.L.",16079,0.003347747,0.046466602,0.006329114,0,0.006884682,0,0,4.100774333,3,2,2,2,0,2,0
1571,"KHIMKONTAKT PLYUS, TOV",25647,0.001952853,0.038722168,0,0,0.04130809,0,0,4.099155525,3,2,2,2,0,2,0
1572,AGROFERTI TRACTAMENTS I SERVEIS SL,32006,0.014227926,0.025169409,0.006329114,0,0.017211704,0,0,4.096274747,3,2,2,2,0,2,0
1573,Fasants B.V.,32054,0.007671921,0.024201355,0.009493671,0,0.012048193,0,0,4.094807618,3,2,2,2,0,2,0
1574,Anorgachim S.A.,29352,0.011717115,0.01839303,0.009493671,0,0.013769363,0,0,4.092709604,3,2,2,2,0,2,0
1575,Paul Leibinger GmbH,35238,0.005998047,0.024201355,0,0,0.051635112,0,0,4.091725715,3,2,2,2,0,2,0
1576,EDICHEM SA,21107,0.006137537,0.013552759,0.009493671,0,0.024096386,0,0,4.088068233,3,2,2,2,0,2,0
1577,Starling Supplies Ltd,28574,0.008648347,0.011616651,0.006329114,0,0.036144578,0,0,4.08630158,3,2,2,2,0,2,0
1578,IRSA Lackfabrik Irmgard Sallinger GmbH,22775,0.000557958,0,0.018987342,0,0.005163511,0,0,4.083541808,3,2,2,2,0,2,0
1579,PR Industrie,12681,0.003766216,0.004840271,0,0.016393443,0.006884682,0.000276578,0,4.080904755,3,2,2,2,0,2,0
1580,IPM Italia,19249,0.006137537,0.054211036,0.003164557,0,0.008605852,0,0,4.080632613,3,2,2,2,0,2,0
1581,Revol Limited,33976,0.004045195,0.007744434,0.012658228,0,0.018932874,0,0,4.067770701,3,2,2,2,0,2,0
1582,Paint and Coatings Factory JSC,23978,0.008229879,0.048402711,0.003164557,0,0.012048193,0,0,4.066950491,3,2,2,2,0,2,0
1583,"""18 vek"" LLC",34463,0.006556005,0.005808325,0.009493671,0,0.030981067,0,0,4.066004048,3,2,2,2,0,2,0
1584,Lanit AG,19867,0.0053006,0.011616651,0.012658228,0,0.013769363,0,0,4.065976245,3,2,2,2,0,2,0
1585,Gr3n Italia,35130,0.013809457,0.023233301,0.006329114,0,0.018932874,0,0,4.064604425,3,2,2,2,0,2,0
1586,Bomix Chemie Gmbh,862,0.006695494,0.026137464,0.009493671,0,0.010327022,0,0,4.056733205,3,2,2,2,0,2,0
1587,IN Holding,22756,0.006416516,0.01839303,0.006329114,0,0.030981067,0,0,4.055353419,3,2,2,2,0,2,0
1588,GENTAS KIMYA SANAYIVE TIC.PAZ.A.S,19266,0.006137537,0.017424976,0.012658228,0,0.006884682,0,0,4.05400527,3,2,2,2,0,2,0
1589,DuraPol Limited,23265,0.007671921,0.041626331,0.003164557,0,0.018932874,0,0,4.044467702,3,2,2,2,0,2,0
1590,Polystone Chemical GmbH,29143,0.009485284,0.032913843,0.003164557,0,0.025817556,0,0,4.043745541,3,2,2,2,0,2,0
1591,GIRALDI GIORGIO,34817,0.007253452,0.01839303,0.009493671,0,0.017211704,0,0,4.041643494,3,2,2,2,0,2,0
1592,Univar solutions S.p.A,20361,0.017575673,0.027105518,0,0,0.036144578,0,0,4.041288463,3,2,2,2,0,2,0
1593,Kaesler Nutrition GmbH,33367,0.013948947,0.008712488,0.006329114,0,0.032702238,0,0,4.034006399,3,2,2,2,0,2,0
1594,Northeastwashingtoncarsales Limited,33628,0.010182731,0.019361084,0.006329114,0,0.025817556,0,0,4.033891353,3,2,2,2,0,2,0
1595,Maclin Sourcing Solutions,32575,0.010740689,0.016456922,0.009493671,0,0.015490534,0,0,4.033141389,3,2,2,2,0,2,0
1596,PROCHIMA SRL,11480,0.000278979,0.000968054,0.018987342,0,0.003442341,0,0,4.031937051,3,2,2,2,0,2,0
1597,Eminada İnşaat Sanayi ve Ticaret LTD. ŞTİ.,22983,0.006974473,0.005808325,0.012658228,0,0.017211704,0,0,4.031370702,3,2,2,2,0,2,0
1598,Love Nature UA,20648,0.006695494,0.047434656,0.003164557,0,0.013769363,0,0,4.027887092,3,2,2,2,0,2,0
1599,Pinturas y Recubrimientos Ursan  S.L,13750,0.0026503,0.005808325,0.015822785,0,0.008605852,0,0,4.017780819,3,2,2,2,0,2,0
1600,JBC Delights,18939,0.007671921,0.020329138,0.012658228,0,0.00172117,0,0,4.01775705,3,2,2,2,0,2,0
1601,Tek Lacke Chemie S.L.,23263,0.004882131,0.032913843,0.006329114,0,0.017211704,0,0,4.016206711,3,2,2,2,0,2,0
1602,Lipovitac OÜ,15143,0.003905705,0.009680542,0.015822785,0,0.003442341,0,0,4.015986363,3,2,2,2,0,2,0
1603,Laboratoire medident,35750,0.006416516,0.047434656,0.003164557,0,0.013769363,0,0,4.013938145,3,2,2,2,0,2,0
1604,Puraffinity Ltd,23482,0.005998047,0.030009681,0.006329114,0,0.018932874,0,0,4.012852887,3,2,2,2,0,2,0
1605,pharm2farm,25242,0.00516111,0.034849952,0.003164557,0,0.027538726,0,0,4.010400806,3,2,2,2,0,2,0
1606,Noho GmbH,33888,0.010740689,0.030977735,0.003164557,0,0.025817556,0,0,4.009710381,3,2,2,2,0,2,0
1607,MADIA Construct SRL,24200,0.010043242,0.042594385,0,0,0.027538726,0,0,4.008817668,3,2,2,2,0,2,0
1608,Mekz Limited,19278,0.007671921,0.042594385,0.003164557,0,0.017211704,0,0,4.006811893,3,2,2,2,0,2,0
1609,"KOST USA, Inc.",23184,0.005719068,0.023233301,0.006329114,0,0.025817556,0,0,4.004319045,3,2,2,2,0,2,0
1610,Storms AS,21318,0.006416516,0.039690223,0.006329114,0,0.008605852,0,0,4.001452294,3,2,2,2,0,2,0
1611,DB German Solution GmbH,11449,0.009624773,0.044530494,0,0,0.025817556,0,0,3.998641149,3,2,2,2,0,2,0
1612,ljekarna Salus,23629,0.010182731,0.041626331,0.003164557,0,0.015490534,0,0,3.997891184,3,2,2,2,0,2,0
1613,Ledil Oy,27938,0.005719068,0.048402711,0,0,0.025817556,0,0,3.996966735,3,2,2,2,0,3,0
1614,CIRON S.A.,30973,0.006556005,0.040658277,0,0,0.032702238,0,0,3.99582597,3,2,2,2,0,2,0
1615,INNOTUBE SRL Romania,35501,0.007532431,0.028073572,0.006329114,0,0.018932874,0,0,3.992766674,3,2,2,2,0,2,0
1616,Kartli,32470,0.006137537,0.020329138,0,0,0.053356282,0,0,3.991147866,3,2,2,2,0,2,0
1617,TUBAN,34342,0.005998047,0.060019361,0,0,0.013769363,0,0,3.98933857,3,2,2,2,0,3,0
1618,BRAM SAS,23905,0.000278979,0,0.018987342,0,0.003442341,0,0,3.983534341,3,2,2,2,0,2,0
1619,Hologic,24263,0.005579579,0.033881897,0.003164557,0,0.027538726,0,0,3.982921516,3,2,2,2,0,2,0
1620,EUROPLASTIC SRL,23404,0.008927326,0.015488867,0.009493671,0,0.017211704,0,0,3.980129043,3,2,2,2,0,2,0
1621,Novo Nordisk,23585,0.007671921,0.024201355,0.006329114,0,0.022375215,0,0,3.978247344,3,2,2,2,0,2,0
1622,Heson GmbH,31140,0.005440089,0.015488867,0.009493671,0,0.020654045,0,0,3.977884247,3,2,2,2,0,2,0
1623,Ventilation Systems AT,34648,0.011996094,0.023233301,0.006329114,0,0.018932874,0,0,3.973936271,3,2,2,2,0,2,0
1624,AquaServ Limited,29219,0.006277026,0.035818006,0.006329114,0,0.012048193,0,0,3.972984018,3,2,2,2,0,2,0
1625,ECT Water Sanitation and Education AB,32278,0.014227926,0.010648596,0.006329114,0,0.029259897,0,0,3.972643727,3,2,2,2,0,2,0
1626,Kemin Food,22137,0.005579579,0.026137464,0.006329114,0,0.022375215,0,0,3.970435664,3,2,2,2,0,2,0
1627,Fiorella GB OOD,34985,0.002231831,0,0.015822785,0,0.013769363,0,0,3.964616695,3,2,2,2,0,2,0
1628,UAB Aconitum,31774,0.010043242,0.017424976,0.009493671,0,0.013769363,0,0,3.960613212,3,2,2,2,0,2,0
1629,Mistral Italia srl,12285,0.006416516,0.037754114,0.003164557,0,0.022375215,0,0,3.960203639,3,2,2,2,0,2,0
1630,Forplast,17335,0.004882131,0.01839303,0.012658228,0,0.005163511,0,0,3.953579199,3,2,2,2,0,2,0
1631,Kiwano sp. z o.o.,3425,0.001952853,0.006776379,0.015822785,0,0.006884682,0,0,3.945252643,3,2,2,2,0,2,0
1632,AquafilSLO,12990,0.006277026,0.045498548,0.006329114,0,0.00172117,0,0,3.940660005,3,2,2,2,0,2,0
1633,Vitalab İlaç Sanayi A.Ş.,33885,0.004742642,0.022265247,0.009493671,0,0.013769363,0,0,3.937596775,3,2,2,2,0,2,0
1634,Kemal-Başaran-Endüstri-a-ş-,15829,0.004184684,0.019361084,0.009493671,0,0.017211704,0,0,3.936607789,3,2,2,2,0,2,0
1635,EQ srl,25210,0.006974473,0.022265247,0.006329114,0,0.024096386,0,0,3.932628076,3,2,2,2,0,2,0
1636,AmphoChem AB,420,0.008787837,0.013552759,0.006329114,0,0.030981067,0,0,3.931905915,3,2,2,2,0,2,0
1637,Telene SAS,24971,0.018970568,0.003872217,0.003164557,0,0.04302926,0,0,3.926513616,3,2,2,2,0,2,0
1638,WEPA Professional GmbH,25460,0.011019668,0.023233301,0.006329114,0,0.018932874,0,0,3.925114957,3,2,2,2,0,2,0
1639,IYON MEDICAL,32543,0.004603152,0.007744434,0.012658228,0,0.015490534,0,0,3.923551555,3,2,2,2,0,2,0
1640,Bene in Casa srl,3234,0.004603152,0.041626331,0.006329114,0,0.006884682,0,0,3.921531041,3,2,2,2,0,2,0
1641,Kirovogradpostach,12578,0.002371321,0,0.018987342,0,0,0,0,3.916034403,3,2,2,2,0,2,0
1642,Smithers Oasis- Floralife,11746,0.0079509,0.017424976,0.006329114,0,0.027538726,0,0,3.911552877,3,2,2,2,0,2,0
1643,EVALITE GmbH,33882,0.005719068,0.008712488,0.009493671,0,0.025817556,0,0,3.91118978,3,2,2,2,0,2,0
1644,KiiltoClean LLC,24355,0.003068768,0.025169409,0,0,0.049913941,0,0,3.907605964,3,2,2,2,0,2,0
1645,Uniqueland,33720,0.011298647,0.051306873,0,0,0.015490534,0,0,3.904802685,3,2,2,2,0,2,0
1646,"YAMAMOTO TRADING KOREA CO.,LTD.",25640,0.020086483,0.01839303,0,0,0.039586919,0,0,3.903321629,3,2,2,2,0,2,0
1647,STAR-JOHN PAPADOPOULOS AND CO,19871,0.00516111,0.022265247,0.012658228,0,0,0,0,3.902963429,3,2,2,2,0,2,0
1648,MPS. Pharma-Europe,33970,0.007671921,0.020329138,0.009493671,0,0.012048193,0,0,3.901196776,3,2,2,2,0,2,0
1649,LATTICINI MOLISANI TAMBURRO SRL,34580,0.009066815,0.015488867,0.009493671,0,0.015490534,0,0,3.901044997,3,2,2,2,0,2,0
1650,SOUDAL NV,12100,0.005021621,0.03678606,0,0,0.036144578,0,0,3.89761296,3,2,2,2,0,2,0
1651,Elementis global,31196,0.004045195,0.053242982,0,0,0.020654045,0,0,3.897111047,3,2,2,2,0,3,0
1652,SIA GroGlass,19256,0.000836937,0.021297193,0.012658228,0,0.005163511,0,0,3.896527602,3,2,2,2,0,2,0
1653,ACTO PHARMA HİJYEN SAN. TİC. A.Ş.,32880,0.011438136,0.013552759,0.006329114,0,0.027538726,0,0,3.89230387,3,2,2,2,0,2,0
1654,SRG TECHNOLOGY COMPANY,30949,0.008229879,0.045498548,0,0,0.024096386,0,0,3.891240605,3,2,2,2,0,2,0
1655,Supmed Kimya,32406,0.006974473,0.030009681,0.006329114,0,0.015490534,0,0,3.889557161,3,2,2,2,0,2,0
